,index,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class
55,58,6.6,2.9,4.6,1.3,Iris-versicolor
56,59,5.2,2.7,3.9,1.4,Iris-versicolor
57,60,5.0,2.0,3.5,1.0,Iris-versicolor
58,61,5.9,3.0,4.2,1.5,Iris-versicolor
59,62,6.0,2.2,4.0,1.0,Iris-versicolor
60,63,6.1,2.9,4.7,1.4,Iris-versicolor
61,64,5.6,2.9,3.6,1.3,Iris-versicolor
62,65,6.7,3.1,4.4,1.4,Iris-versicolor
63,66,5.6,3.0,4.5,1.5,Iris-versicolor
64,67,5.8,2.7,4.1,1.0,Iris-versicolor
65,68,6.2,2.2,4.5,1.5,Iris-versicolor
66,69,5.6,2.5,3.9,1.1,Iris-versicolor
67,70,5.9,3.2,4.8,1.8,Iris-versicolor
68,71,6.1,2.8,4.0,1.3,Iris-versicolor
69,72,6.3,2.5,4.9,1.5,Iris-versicolor
70,73,6.1,2.8,4.7,1.2,Iris-versicolor
71,74,6.4,2.9,4.3,1.3,Iris-versicolor
72,75,6.6,3.0,4.4,1.4,Iris-versicolor
73,76,6.8,2.8,4.8,1.4,Iris-versicolor
74,82,5.8,2.7,3.9,1.2,Iris-versicolor
75,83,6.0,2.8,5.1,1.6,Iris-versicolor
76,84,5.4,3.0,4.5,1.5,Iris-versicolor
77,85,6.0,3.4,4.5,1.6,Iris-versicolor
78,86,6.7,3.1,4.7,1.5,Iris-versicolor
79,87,6.3,2.3,4.4,1.3,Iris-versicolor
80,88,5.6,3.0,4.1,1.3,Iris-versicolor
81,89,5.5,2.5,4.0,1.3,Iris-versicolor
82,90,5.5,2.6,4.4,1.2,Iris-versicolor
83,91,6.1,3.0,4.6,1.4,Iris-versicolor
84,92,5.8,2.6,4.0,1.2,Iris-versicolor
85,93,5.0,2.3,3.3,1.0,Iris-versicolor
86,94,5.6,2.7,4.2,1.3,Iris-versicolor
87,95,5.7,3.0,4.2,1.2,Iris-versicolor
88,96,5.7,2.9,4.2,1.3,Iris-versicolor
89,97,6.2,2.9,4.3,1.3,Iris-versicolor
90,98,5.1,2.5,3.0,1.1,Iris-versicolor
91,99,5.7,2.8,4.1,1.3,Iris-versicolor
92,100,6.3,3.3,6.0,2.5,Iris-virginica
93,101,5.8,2.7,5.1,1.9,Iris-virginica
94,102,7.1,3.0,5.9,2.1,Iris-virginica
95,103,6.3,2.9,5.6,1.8,Iris-virginica
96,104,6.5,3.0,5.8,2.2,Iris-virginica
97,105,7.6,3.0,6.6,2.1,Iris-virginica
98,106,4.9,2.5,4.5,1.7,Iris-virginica
99,107,7.3,2.9,6.3,1.8,Iris-virginica
100,108,6.7,2.5,5.8,1.8,Iris-virginica
101,109,7.2,3.6,6.1,2.5,Iris-virginica
102,110,6.5,3.2,5.1,2.0,Iris-virginica
103,111,6.4,2.7,5.3,1.9,Iris-virginica
104,112,6.8,3.0,5.5,2.1,Iris-virginica
105,113,5.7,2.5,5.0,2.0,Iris-virginica
106,114,5.8,2.8,5.1,2.4,Iris-virginica
107,115,6.4,3.2,5.3,2.3,Iris-virginica
108,116,6.5,3.0,5.5,1.8,Iris-virginica
109,117,7.7,3.8,6.7,2.2,Iris-virginica
110,118,7.7,2.6,6.9,2.3,Iris-virginica
111,119,6.0,2.2,5.0,1.5,Iris-virginica
112,120,6.9,3.2,5.7,2.3,Iris-virginica
113,121,5.6,2.8,4.9,2.0,Iris-virginica
114,122,5.6,2.8,6.7,2.0,Iris-virginica
115,123,6.3,2.7,4.9,1.8,Iris-virginica
116,124,6.7,3.3,5.7,2.1,Iris-virginica
117,125,7.2,3.2,6.0,1.8,Iris-virginica
118,126,6.2,2.8,4.8,1.8,Iris-virginica
119,127,6.1,3.0,4.9,1.8,Iris-virginica
120,128,6.4,2.8,5.6,2.1,Iris-virginica
121,129,7.2,3.0,5.8,1.6,Iris-virginica
122,130,7.4,2.8,6.1,1.9,Iris-virginica
123,131,7.9,3.8,6.4,2.0,Iris-virginica
124,132,6.4,2.8,5.6,2.2,Iris-virginica
125,133,6.3,2.8,5.1,1.5,Iris-virginica
126,134,6.1,2.6,5.6,1.4,Iris-virginica
127,135,7.7,3.0,6.1,2.3,Iris-virginica
128,136,6.3,3.4,5.6,2.4,Iris-virginica
129,137,6.4,3.1,5.5,1.8,Iris-virginica
130,138,6.0,3.0,4.8,1.8,Iris-virginica
131,139,6.9,3.1,5.4,2.1,Iris-virginica
132,140,6.7,3.1,5.6,2.4,Iris-virginica
133,141,6.9,3.1,5.1,2.3,Iris-virginica
134,142,5.8,2.7,5.1,1.9,Iris-virginica
135,143,6.8,3.2,5.9,2.3,Iris-virginica
136,144,6.7,3.3,5.7,2.5,Iris-virginica
137,145,6.7,3.0,5.2,2.3,Iris-virginica
138,146,6.3,2.5,5.0,2.3,Iris-virginica
139,147,6.5,3.0,5.2,2.0,Iris-virginica
140,148,6.2,3.4,5.4,2.3,Iris-virginica
141,149,5.9,3.0,5.1,1.8,Iris-virginica
